Episodio,Recompensa_Episodio,Recompensa_Promedio_Movil,Pasos_Episodio,Pasos_Promedio_Movil,Metas_Alcanzadas_Episodio,Metas_Alcanzadas_Promedio_Movil,loss,policy_loss,value_loss,actor_loss,critic_loss,entropy_loss,alpha_loss,alpha,epsilon
266,-98.91033566124645,-112.25134276624354,6,5.57,0,0.0,,,,,,,,,
267,-100.01,-112.25134276624354,1,5.57,0,0.0,,,,,,,,,
268,-100.01,-111.53914139514264,1,5.5,0,0.0,,,,,,,,,
269,-99.66659794115111,-111.53919788592552,4,5.49,0,0.0,,,,,,,,,
270,-99.52685469792624,-111.58835380775736,6,5.46,0,0.0,,,,,,,,,
271,-201.48712631440497,-112.64698824657813,9,5.47,0,0.0,,,,,,,,,
272,-99.91898584249793,-112.66823439004969,2,5.43,0,0.0,,,,,,,,,
273,-99.71899202621628,-112.56727631965913,4,5.43,0,0.0,,,,,,,,,
274,-99.92012682769632,-112.56728377650933,2,5.43,0,0.0,,,,,,,,,
275,-99.8025736421988,-112.56722994976529,3,5.43,0,0.0,,,,,,,,,
276,-171.53951944346306,-113.28252514419994,9,5.51,0,0.0,,,,,,,,,
277,-128.9107571049666,-113.28950928076917,6,5.51,0,0.0,,,,,,,,,
278,-99.80285800318639,-113.00410132310586,3,5.49,0,0.0,,,,,,,,,
279,-208.35951194342346,-114.08962812909978,9,5.55,0,0.0,,,,,,,,,
280,-100.01,-114.0900110591244,1,5.54,0,0.0,,,,,,,,,
281,-96.92867289962783,-113.49418502606196,5,5.53,0,0.0,,,,,,,,,
282,-151.9818409339494,-113.72808648800617,40,5.89,0,0.0,,,,,,,,,
283,-114.66764393765953,-113.8780896844663,5,5.9,0,0.0,,,,,,,,,
284,-99.66623900482737,-113.490900531678,4,5.88,0,0.0,,,,,,,,,
285,-184.90411741314588,-113.76544151220624,10,5.9,0,0.0,,,,,,,,,
286,-99.91873485901885,-113.77874190138502,2,5.88,0,0.0,,,,,,,,,
287,-99.67159821174992,-113.77625458727769,4,5.9,0,0.0,,,,,,,,,
288,-100.01,-113.77625458727769,1,5.9,0,0.0,,,,,,,,,
289,-114.62815754486957,-113.92586409696688,3,5.89,0,0.0,,,,,,,,,
290,-473.1131874061202,-117.66112863634065,32,6.17,0,0.0,,,,,,,,,
291,-100.01,-117.71701149757065,1,6.09,0,0.0,,,,,,,,,
292,-100.01,-117.8011817813267,1,5.97,0,0.0,,,,,,,,,
293,-225.89363935124607,-119.0620471249941,13,6.07,0,0.0,,,,,,,,,
294,-129.12614999909312,-119.35410407377044,5,6.1,0,0.0,,,,,,,,,
295,-240.0667111222466,-120.76563738094055,12,6.16,0,0.0,,,,,,,,,
296,-100.01,-120.3335418994527,1,6.1,0,0.0,,,,,,,,,
297,-99.72102696530075,-120.332198644651,2,6.09,0,0.0,,,,,,,,,
298,-100.01,-120.33467644036125,1,6.06,0,0.0,,,,,,,,,
299,-238.72973134761145,-121.72532080048896,13,6.15,0,0.0,,,,,,,,,
300,-99.91815875570708,-121.72647082790945,2,6.14,0,0.0,,,,,,,,,
301,-143.25952903567475,-122.16100695832108,7,6.18,0,0.0,,,,,,,,,
302,-143.21330447305627,-122.59643096169624,7,6.21,0,0.0,,,,,,,,,
303,-157.4238233829883,-122.73856035002406,8,6.22,0,0.0,,,,,,,,,
304,-93.94019693276198,-122.6778623193517,11,6.32,0,0.0,,,,,,,,,
305,-322.54751878241854,-124.75479968243847,23,6.52,0,0.0,,,,,,,,,
306,-106.98538257274731,-124.53869810318201,7,6.55,0,0.0,,,,,,,,,
307,-99.50569881957121,-124.53365509137771,5,6.59,0,0.0,,,,,,,,,
308,-171.58066333539773,-125.27097263347372,9,6.61,0,0.0,,,,,,,,,
309,-114.65708911342043,-124.98556663026606,4,6.58,0,0.0,,,,,,,,,
310,-100.01,-124.98902533071137,1,6.55,0,0.0,,,,,,,,,
311,-71.55669490718097,-124.70539445321464,19,6.72,0,0.0,,,,,,,,,
312,-241.17505150675225,-126.11907665484186,14,6.83,0,0.0,,,,,,,,,
313,-435.8771279365733,-127.37486493305725,28,6.9,0,0.0,,,,,,,,,
314,-309.0328658303952,-129.51865150675462,20,6.99,0,0.0,,,,,,,,,
315,-113.76964453635247,-129.65971649659096,10,7.05,0,0.0,,,,,,,,,
316,-99.80808445784838,-129.658601562742,3,7.06,0,0.0,,,,,,,,,
317,-143.2013299332754,-130.0274872067173,7,6.96,0,0.0,,,,,,,,,
318,-99.66623900482737,-130.0240495967656,4,6.99,0,0.0,,,,,,,,,
319,-96.57824617332774,-129.9917817305697,9,7.05,0,0.0,,,,,,,,,
320,-99.80683134402885,-129.9918122192726,3,7.05,0,0.0,,,,,,,,,
321,-99.80378247373858,-129.99470826582927,3,7.03,0,0.0,,,,,,,,,
322,-155.82004609677085,-130.57884539489137,8,7.03,0,0.0,,,,,,,,,
323,-94.67412454774522,-130.52755068026542,11,7.11,0,0.0,,,,,,,,,
324,-99.91990598356638,-130.54461290444286,2,7.06,0,0.0,,,,,,,,,
325,-99.67396552430185,-130.63071029428508,4,6.96,0,0.0,,,,,,,,,
326,-81.42271937351411,-130.5684244747336,23,7.07,0,0.0,,,,,,,,,
