Episodio,Recompensa_Episodio,Recompensa_Promedio_Movil,Pasos_Episodio,Pasos_Promedio_Movil,Metas_Alcanzadas_Episodio,Metas_Alcanzadas_Promedio_Movil,loss,policy_loss,value_loss,actor_loss,critic_loss,entropy_loss,alpha_loss,alpha,epsilon
146,-99.92070028258149,-105.62449558320469,2,2.7,0,0.0,,0.0,0.0,,,0.0,,,
147,-100.01,-105.6274029625676,1,2.67,0,0.0,,0.0,0.0,,,0.0,,,
148,-99.91957784274477,-105.20082032272066,2,2.65,0,0.0,,0.0,0.0,,,0.0,,,
149,-99.51579131450653,-105.19587823586575,5,2.69,0,0.0,,0.0,0.0,,,0.0,,,
150,-99.80542207438721,-105.19590511497081,3,2.69,0,0.0,,0.0,0.0,,,0.0,,,
151,-113.71129687063551,-105.33291808367716,4,2.72,0,0.0,,0.0,0.0,,,0.0,,,
152,-100.01,-105.33291808367714,1,2.72,0,0.0,,0.0,0.0,,,0.0,,,
153,-155.96836802495852,-105.89250176392675,5,2.76,0,0.0,,0.0,0.0,,,0.0,,,
154,-100.01,-105.94878085487446,1,2.68,0,0.0,,0.0,0.0,,,0.0,,,
155,-100.01,-105.94968066167259,1,2.67,0,0.0,,0.0,0.0,,,0.0,,,
156,-100.01,-105.9516965807383,1,2.65,0,0.0,,0.0,0.0,,,0.0,,,
157,-100.01,-105.95258789962045,1,2.64,0,0.0,,0.0,0.0,,,0.0,,,
158,-99.91855430449688,-105.95167344266541,2,2.65,0,0.0,,0.0,0.0,,,0.0,,,
159,-100.01,-105.9537151826117,1,2.63,0,0.0,,0.0,0.0,,,0.0,,,
160,-100.01,-105.9537151826117,1,2.63,0,0.0,,0.0,0.0,,,0.0,,,
161,-100.01,-105.9537151826117,1,2.63,0,0.0,,0.0,0.0,,,0.0,,,
162,-96.93277869036051,-105.92294296951532,4,2.66,0,0.0,,0.0,0.0,,,0.0,,,
163,-169.54100723542052,-106.64024832327445,7,2.69,0,0.0,,0.0,0.0,,,0.0,,,
164,-100.01,-106.64024832327445,1,2.69,0,0.0,,0.0,0.0,,,0.0,,,
165,-114.49338633212128,-106.78508218659566,4,2.72,0,0.0,,0.0,0.0,,,0.0,,,
166,-168.43498034757522,-107.46933199007141,8,2.79,0,0.0,,,,,,,,,
167,-95.46626870472436,-107.42480009081882,7,2.84,0,0.0,,-0.07754089672946268,4963.3203125,,,1.0373178985383775,,,
