Episodio,Recompensa_Episodio,Pasos_Episodio,Pasos_Totales,Recompensa_Promedio_Movil,Metas_Alcanzadas_Episodio,Metas_Alcanzadas_Promedio_Movil,loss,policy_loss,value_loss,actor_loss,critic_loss,entropy_loss,alpha_loss,alpha,epsilon
296,-241.66972715091902,15,12640,-115.08161541740101,0,0.48,,,,,,,,,
297,260.11809431309104,43,12683,-113.89412141359986,1,0.49,,,,,,,,,
298,88.87286854645525,24,12707,-121.3835967704,0,0.47,,,,,,,,,
299,16.044820773512058,24,12731,-124.38934311543836,0,0.46,,,,,,,,,
300,-197.52419014636774,19,12750,-128.27640291128893,0,0.45,,,,,,,,,
301,-90.06289586427006,28,12778,-128.17693186993162,1,0.46,,,,,,,,,
302,516.4185361474847,43,12821,-122.0126465084568,2,0.48,,,,,,,,,
303,-55.888442323526725,25,12846,-121.50061320021398,1,0.48,,,,,,,,,
304,-253.41518578469987,20,12866,-124.21122838009973,0,0.48,,,,,,,,,
305,-251.5471647783811,13,12879,-122.71610270617312,0,0.48,,,,,,,,,
306,-229.12101314779778,20,12899,-122.37373453209295,0,0.48,,,,,,,,,
307,-211.16464146468266,11,12910,-128.66466230072686,0,0.46,,,,,,,,,
308,-100.01,1,12911,-131.55199214672723,0,0.45,,,,,,,,,
309,-100.01,1,12912,-132.14226415368418,0,0.44,,,,,,,,,
310,-226.7991773909372,27,12939,-134.76708951931317,0,0.44,,,,,,,,,
311,436.5687628580604,42,12981,-129.40130189073258,0,0.44,,,,,,,,,
312,-719.672478680989,41,13022,-136.0641291405487,0,0.43,,,,,,,,,
313,485.6087638916903,26,13048,-130.87489199731118,2,0.45,,,,,,,,,
314,-209.28850800331122,35,13083,-131.65601964001485,0,0.45,,,,,,,,,
315,54.00097971352319,21,13104,-130.05137978129312,0,0.44,,,,,,,,,
316,-218.45377309055112,21,13125,-132.71909589667172,0,0.44,,,,,,,,,
317,-100.01,1,13126,-132.95744047431697,0,0.44,,,,,,,,,
318,-241.32543061003975,26,13152,-136.27509254469066,0,0.42,,,,,,,,,
319,-114.97488771418418,19,13171,-136.42474142183246,0,0.42,,,,,,,,,
320,-249.0279477735292,24,13195,-137.91492089956782,0,0.42,,,,,,,,,
321,-18505.76657936641,2000,15195,-323.2966559349275,2,0.44,,,,,,,,,
322,-163.16483983308962,18,15213,-323.92820433325846,0,0.44,,,,,,,,,
323,481.6019995278464,37,15250,-331.40829457245906,1,0.4,,,,,,,,,
324,-54.57175541376316,59,15309,-329.6642408608833,0,0.4,,,,,,,,,
325,241.425404143572,43,15352,-324.838129012599,1,0.41,,,,,,,,,
326,436.5501328297029,38,15390,-319.472527684302,1,0.42,,,,,,,,,
327,-85.65890340222185,24,15414,-325.90272750148074,0,0.41,,,,,,,,,
328,-35.58604581824922,39,15453,-326.4241290450559,0,0.4,,,,,,,,,
329,-248.22382160655314,25,15478,-328.3972539901921,0,0.4,,,,,,,,,
330,821.8593869461383,42,15520,-319.1785601207307,3,0.43,,,,,,,,,
331,278.02487131202315,40,15560,-315.39821140761046,0,0.43,,,,,,,,,
332,37.59403143272648,30,15590,-314.8125798210512,0,0.43,,,,,,,,,
333,-100.01,1,15591,-318.5298587568605,0,0.42,,,,,,,,,
334,-521.5808716577864,53,15644,-323.9287841703753,0,0.42,,,,,,,,,
335,829.3111083255404,72,15716,-314.2118275002581,2,0.44,,,,,,,,,
336,341.20406547876195,43,15759,-312.18092084896386,1,0.43,,,,,,,,,
337,-100.01,1,15760,-312.9112680268569,0,0.43,,,,,,,,,
338,123.73939343349402,31,15791,-310.67377409252197,1,0.44,,,,,,,,,
339,175.62839196388,31,15822,-312.46548579585016,0,0.43,,,,,,,,,
340,17.04227785469638,19,15841,-310.5067276612552,0,0.43,,,,,,,,,
341,32.40692416956328,20,15861,-309.51545378235943,0,0.43,,,,,,,,,
342,-179.63529217343108,34,15895,-310.31170670409375,0,0.43,,,,,,,,,
343,-245.96931383374437,25,15920,-310.4106861107782,0,0.43,,,,,,,,,
344,-96.72816076722545,20,15940,-308.9555561417046,1,0.44,,,,,,,,,
345,-100.01,1,15941,-309.8694386859224,0,0.44,,,,,,,,,
346,-40.63062099840082,26,15967,-309.6976427342488,1,0.45,,,,,,,,,
347,-95.66767646575263,7,15974,-309.54712853807615,0,0.45,,,,,,,,,
348,-136.14383672477663,18,15992,-317.785429726623,0,0.42,,,,,,,,,
349,-95.71636619899422,7,15999,-318.8790415963481,0,0.42,,,,,,,,,
350,-76.8900546572908,13,16012,-318.1048907197311,0,0.42,,,,,,,,,
351,117.97174642816206,58,16070,-318.85383849237115,3,0.44,,,,,,,,,
352,-319.7299946472695,28,16098,-213.61262665482454,0,0.43,,,,,,,,,
353,-213.99992204889128,14,16112,-216.49104756975532,0,0.43,,,,,,,,,
354,407.36315772642536,33,16145,-216.03020107568074,1,0.41,,,,,,,,,
355,216.56380045418865,21,16166,-211.6388322025158,1,0.42,,,,,,,,,
356,-53.36129508777654,22,16188,-212.95528861250182,1,0.43,,,,,,,,,
357,-213.19545816007462,10,16198,-214.26806017375392,0,0.43,,,,,,,,,
358,674.9105312224393,52,16250,-207.85020160979127,1,0.44,,,,,,,,,
359,-242.4336666118631,21,16271,-209.61963050256338,0,0.43,,,,,,,,,
360,171.41387167714765,44,16315,-212.0486373411214,2,0.43,,,,,,,,,
361,-19941.71876317653,2000,18315,-410.37226676872154,0,0.43,,,,,,,,,
362,287.18777129554246,59,18374,-398.7572241319657,0,0.43,,,,,,,,,
363,659.3879862390303,47,18421,-394.5511403730358,1,0.43,,,,,,,,,
364,-39.03875917138592,30,18451,-393.11945905665476,1,0.44,,,,,,,,,
365,-495.54712790973844,49,18500,-397.0748303357522,0,0.44,,,,,,,,,
366,-70.91537116374559,22,18522,-400.61894166495506,1,0.44,,,,,,,,,
367,51.324612601953746,43,18565,-397.883303272737,1,0.45,,,,,,,,,
368,-236.48274254661146,19,18584,-404.5131598582991,0,0.44,,,,,,,,,
369,32.61864444706141,31,18615,-403.1868734138285,0,0.44,,,,,,,,,
370,-73.86988751381155,10,18625,-403.66702376209673,0,0.44,,,,,,,,,
371,-773.8410248710319,95,18720,-418.1020001770922,1,0.44,,,,,,,,,
372,-206.8693970871778,9,18729,-420.1309172770971,0,0.44,,,,,,,,,
373,116.25863279119294,56,18785,-413.1520321525183,2,0.46,,,,,,,,,
374,-578.4950732708757,54,18839,-419.1804749724992,0,0.46,,,,,,,,,
375,-37.44941190356199,80,18919,-417.13258133387154,1,0.47,,,,,,,,,
376,-14616.914571474434,2000,20919,-561.5207156427028,9,0.56,,,,,,,,,
377,78.783042338018,23,20942,-563.074904836238,0,0.55,,,,,,,,,
378,186.21170324151643,23,20965,-560.0648393443291,1,0.56,,,,,,,,,
379,-231.42992567980042,12,20977,-560.3077314108994,0,0.56,,,,,,,,,
380,383.9094717493123,21,20998,-548.161764654333,2,0.58,,,,,,,,,
381,-130.26404018362857,21,21019,-548.7743014159624,0,0.58,,,,,,,,,
382,-100.01,1,21020,-547.532625551229,0,0.58,,,,,,,,,
383,-175.68996605570254,21,21041,-548.8365561228736,0,0.58,,,,,,,,,
384,561.937607875519,77,21118,-548.8606329395634,2,0.58,,,,,,,,,
385,-19.04849307628639,33,21151,-549.9823206776665,1,0.57,,,,,,,,,
386,107.87323968983812,27,21178,-547.9034882807681,2,0.59,,,,,,,,,
387,480.23002117557724,35,21213,-539.7560175837633,1,0.59,,,,,,,,,
388,-236.68089362896268,22,21235,-542.8899147465313,0,0.59,,,,,,,,,
389,83.9394818273242,35,21270,-542.5447636728934,0,0.58,,,,,,,,,
390,26.928833566604084,22,21292,-541.2753753372273,0,0.58,,,,,,,,,
391,229.31721487512402,66,21358,-541.412030206446,2,0.59,,,,,,,,,
392,-100.01,1,21359,-540.8549690883126,0,0.59,,,,,,,,,
393,-113.08401136490033,67,21426,-542.0284196028134,0,0.59,,,,,,,,,
394,19.098103524785287,40,21466,-541.6852728670033,1,0.6,,,,,,,,,
395,1075.7060343108699,63,21529,-522.6905307675655,3,0.62,,,,,,,,,
396,-254.66907025431715,14,21543,-522.8205241985994,0,0.62,,,,,,,,,
397,534.91778381687,42,21585,-520.0725273035617,3,0.64,,,,,,,,,
398,312.85818119699763,67,21652,-517.8326741770562,2,0.66,,,,,,,,,
399,-253.49129376636807,21,21673,-520.528035322455,0,0.66,,,,,,,,,
400,-13772.435061570817,1496,23169,-656.2771440366995,0,0.66,,,,,,,,,
401,-100.01,1,23170,-656.3766150780568,0,0.65,,,,,,,,,
402,-62.31474717991699,13,23183,-662.1639479113308,0,0.63,,,,,,,,,
403,619.570768382059,41,23224,-655.4093558042748,1,0.63,,,,,,,,,
404,-70.93824907919097,25,23249,-653.5845864372197,0,0.63,,,,,,,,,
405,280.3880850350191,50,23299,-648.2652339390858,2,0.65,,,,,,,,,
406,-41.8567092728575,28,23327,-646.3925909003365,1,0.66,,,,,,,,,
407,461.66453386951173,35,23362,-639.6642991469944,1,0.67,,,,,,,,,
408,219.9513925435205,30,23392,-636.4646852215593,0,0.67,,,,,,,,,
409,869.2347358845637,65,23457,-626.7722378627135,4,0.71,,,,,,,,,
410,-248.11483654298638,17,23474,-626.9853944542341,0,0.71,,,,,,,,,
